what,when,with,where,why
Ph.D. in Regional Planning,2008,University of Illinois ,Urbana Champaign,"Dissertation Title: ""Reasoning with Plans: Inference of Semantic Relationships among Plans about Urban Development"""
M.S. in Applied Mathematics,2007,University of Illinois ,Urbana Champaign,
M.U. P. in Urban Planning,2004,University of Illinois ,Urbana Champaign,
B.Arch (Hons.) in Architecture,2001,Indian Institute of Technology,"Kharagpur, India",
