journal_title
European Journal of Decision Processes
Applied Energy
Journal of American Planning Association
Journal of Planning Education and Research
American Journal of Public Health
Journal of Environmental Planning and Management
Future Internet
Land Use Policy
Urban Studies
European Journal of Operations Research
Energy Policy
Landscape and Urban Planning
Environment Systems and Decisions
Journal of Transport and Landuse
International Journal of Geographic Information Science
Transportation Research D
Cities
Journal of Environmental Management
EPJ Data Science
Growth and Change
Sustainability
Energy Sources, Part B: Economics, Planning, and Policy 
Environmental Science and Technology
Environmental Science and Policy
